               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12403,            0.028099,                   0,           0.0071597,            0.020619,           0.0013486,          0.00034255,             0.11683,            0.021264,                   0,            0.070625,           0.0032639,           0.0032639
                   1,              0.1105,            0.025065,                   0,          0.00045139,             0.13402,          0.00025891,          5.4084e-05,             0.10664,            0.017514,                   0,            0.040571,           0.0065428,           0.0065428
                   2,             0.10846,            0.021146,                   0,          0.00038194,              0.1134,          0.00021946,          4.5919e-05,             0.10366,            0.016231,                   0,            0.010461,           0.0097667,           0.0097667
                   3,            0.096751,            0.018337,                   0,          0.00059028,             0.17526,          0.00042003,           8.333e-05,            0.097469,            0.014513,                   0,           0.0097525,           0.0097525,           0.0097525
                   4,            0.098372,            0.018485,                   0,          0.00086806,             0.25773,          0.00058962,           0.0001557,            0.094098,            0.014348,                   0,           0.0097525,           0.0097525,           0.0097525
                   5,            0.092257,            0.018589,                   0,           0.0014236,             0.42268,           0.0012974,          0.00034989,            0.094707,             0.01324,                   0,             0.00967,             0.00967,             0.00967
                   6,            0.087067,             0.01771,                   0,           0.0020139,             0.59794,           0.0027969,          0.00084743,            0.086253,              0.0142,                   0,           0.0095875,           0.0095875,           0.0095875
                   7,            0.084534,            0.018368,                   0,           0.0023617,             0.70103,            0.012488,           0.0029779,            0.083848,            0.013115,                   0,            0.009505,            0.009505,            0.009505
                   8,            0.084556,            0.016034,                   0,           0.0027447,             0.81443,            0.020042,           0.0047181,            0.090027,            0.012812,                   0,           0.0094225,           0.0094225,           0.0094225
                   9,            0.084603,            0.017416,                   0,           0.0024258,             0.70103,            0.011475,           0.0024227,            0.089987,             0.01198,                   0,             0.00934,             0.00934,             0.00934
                  10,            0.088474,            0.015509,                   0,           0.0029218,             0.85567,            0.011461,           0.0031502,            0.086214,            0.012489,                   0,           0.0092575,           0.0092575,           0.0092575
                  11,             0.08321,             0.01689,                   0,           0.0027777,             0.79381,            0.023684,           0.0065309,             0.07914,            0.012966,                   0,            0.009175,            0.009175,            0.009175
                  12,            0.074301,             0.01544,                   0,           0.0031017,              0.8866,            0.045936,            0.012225,            0.075095,            0.013893,                   0,           0.0090925,           0.0090925,           0.0090925
                  13,            0.074669,            0.017253,                   0,           0.0032262,             0.90722,            0.091984,            0.028912,            0.069157,             0.01464,                   0,             0.00901,             0.00901,             0.00901
                  14,            0.071007,            0.017686,                   0,           0.0032649,             0.93814,             0.17566,            0.058059,            0.063802,            0.014906,                   0,           0.0089275,           0.0089275,           0.0089275
                  15,            0.067879,            0.019436,                   0,             0.28308,             0.21649,             0.17651,            0.037838,            0.067088,            0.013968,                   0,            0.008845,            0.008845,            0.008845
                  16,            0.067374,            0.015508,                   0,             0.18551,             0.42268,             0.26303,            0.087291,            0.063466,            0.014306,                   0,           0.0087625,           0.0087625,           0.0087625
