               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1292,            0.029995,                   0,          0.00016667,                0.05,          0.00011707,          1.1707e-05,             0.13179,            0.022701,                   0,              0.0982,              0.0002,              0.0002
                   1,             0.12982,            0.030046,                   0,          0.00016667,                0.05,          0.00010266,          1.0266e-05,             0.12968,            0.022245,                   0,            0.095498,          0.00049835,          0.00049835
                   2,             0.12873,            0.029224,                   0,          0.00033333,                 0.1,          0.00019627,          4.8899e-05,             0.12735,            0.021935,                   0,            0.092795,          0.00079472,          0.00079472
                   3,             0.12396,            0.029565,                   0,          0.00033333,                 0.1,          0.00021592,          6.2228e-05,             0.12299,             0.02163,                   0,            0.090089,           0.0010891,           0.0010891
                   4,             0.11941,            0.030265,                   0,          0.00079932,                 0.1,           0.0013286,          0.00021059,             0.12024,            0.021358,                   0,            0.087382,           0.0013815,           0.0013815
                   5,             0.12002,            0.028277,                   0,           0.0043393,                0.05,           0.0042981,           0.0020741,             0.11589,            0.020572,                   0,            0.084672,            0.001672,            0.001672
                   6,             0.11813,              0.0264,                   0,            0.027407,                0.05,             0.01181,            0.002407,             0.11272,            0.020224,                   0,             0.08196,           0.0019604,           0.0019604
                   7,             0.10852,            0.028208,                   0,            0.035592,                0.05,            0.015527,           0.0075976,             0.11166,            0.019666,                   0,            0.079247,           0.0022469,           0.0022469
                   8,            0.099995,            0.024891,                   0,            0.014665,                0.05,            0.015458,           0.0091235,             0.11161,            0.019115,                   0,            0.076531,           0.0025314,           0.0025314
                   9,             0.11428,            0.026952,                   0,          0.00049879,                 0.1,           0.0034137,           0.0019885,             0.11082,            0.018625,                   0,            0.073814,           0.0028139,           0.0028139
                  10,             0.11317,             0.02428,                   0,             0.15772,                0.05,            0.023066,            0.013682,             0.10716,            0.018476,                   0,            0.071094,           0.0030944,           0.0030944
                  11,             0.10901,            0.024053,                   0,              0.0005,                0.15,           0.0017167,          0.00079065,              0.1065,            0.018175,                   0,            0.068373,           0.0033729,           0.0033729
                  12,             0.10467,            0.023572,                   0,          0.00066667,                 0.2,           0.0048033,           0.0010146,             0.10577,            0.017749,                   0,             0.06565,           0.0036495,           0.0036495
                  13,             0.10593,            0.027296,                   0,               0.001,                 0.3,           0.0023913,          0.00057422,             0.10147,            0.017731,                   0,            0.062924,           0.0039241,           0.0039241
                  14,             0.10434,            0.023873,                   0,               0.001,                 0.3,           0.0023913,          0.00057422,             0.10147,            0.017731,                   0,            0.060197,           0.0041967,           0.0041967
                  15,             0.10257,            0.024876,                   0,               0.001,                 0.3,           0.0079037,           0.0017503,            0.097682,            0.017617,                   0,            0.057467,           0.0044673,           0.0044673
                  16,             0.10023,            0.023862,                   0,              0.0015,                0.45,            0.011843,           0.0045082,            0.094121,            0.017411,                   0,            0.054736,            0.004736,            0.004736
                  17,            0.098834,            0.021282,                   0,              0.0015,                0.45,            0.011843,           0.0045082,            0.094121,            0.017411,                   0,            0.052003,           0.0050027,           0.0050027
                  18,             0.10017,             0.02378,                   0,           0.0017413,                 0.5,            0.027933,           0.0097927,            0.092368,             0.01716,                   0,            0.049267,           0.0052674,           0.0052674
                  19,             0.09606,            0.023709,                   0,            0.022516,                0.15,            0.077789,            0.017464,            0.096048,            0.015822,                   0,             0.04653,           0.0055301,           0.0055301
                  20,            0.097414,            0.021837,                   0,            0.022516,                0.15,            0.077789,            0.017464,            0.096048,            0.015822,                   0,            0.043791,           0.0057908,           0.0057908
                  21,             0.09887,            0.022566,                   0,             0.21559,                 0.1,            0.075588,            0.015473,            0.095054,            0.014894,                   0,             0.04105,           0.0060495,           0.0060495
                  22,             0.10124,             0.02311,                   0,             0.21559,                 0.1,            0.075588,            0.015473,            0.095054,            0.014894,                   0,            0.038306,           0.0063063,           0.0063063
                  23,            0.097833,            0.023073,                   0,              0.0025,                0.75,            0.032218,           0.0094678,            0.091645,            0.014763,                   0,            0.035561,           0.0065611,           0.0065611
                  24,            0.091539,             0.02231,                   0,              0.0025,                0.75,            0.032218,           0.0094678,            0.091645,            0.014763,                   0,            0.032814,           0.0068139,           0.0068139
                  25,            0.093069,            0.023261,                   0,             0.19419,                 0.1,            0.081688,            0.018509,            0.091193,            0.014215,                   0,            0.030065,           0.0070648,           0.0070648
                  26,            0.094302,            0.021213,                   0,             0.19419,                 0.1,            0.081688,            0.018509,            0.091193,            0.014215,                   0,            0.027314,           0.0073136,           0.0073136
                  27,            0.093594,            0.022715,                   0,           0.0028333,                0.85,             0.16583,            0.044274,            0.087041,            0.013785,                   0,             0.02456,           0.0075605,           0.0075605
                  28,            0.094932,            0.023298,                   0,           0.0028333,                0.85,             0.16583,            0.044274,            0.087041,            0.013785,                   0,            0.021805,           0.0078054,           0.0078054
                  29,            0.089823,             0.01869,                   0,           0.0028333,                0.85,             0.16583,            0.044274,            0.087041,            0.013785,                   0,            0.019048,           0.0080483,           0.0080483
                  30,            0.084716,             0.01844,                   0,            0.024654,                 0.8,             0.17838,            0.045942,            0.087813,            0.012546,                   0,            0.016289,           0.0082892,           0.0082892
                  31,            0.086239,            0.021384,                   0,            0.024654,                 0.8,             0.17838,            0.045942,            0.087813,            0.012546,                   0,            0.013528,           0.0085281,           0.0085281
                  32,            0.087519,            0.019029,                   0,           0.0034267,                 0.9,            0.074162,            0.026858,            0.079303,             0.01325,                   0,            0.010765,           0.0087651,           0.0087651
                  33,            0.081756,            0.021189,                   0,           0.0034267,                 0.9,            0.074162,            0.026858,            0.079303,             0.01325,                   0,            0.008911,            0.008911,            0.008911
                  34,            0.082732,            0.021397,                   0,           0.0034267,                 0.9,            0.074162,            0.026858,            0.079303,             0.01325,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.086103,            0.020123,                   0,             0.01089,                0.85,             0.15771,            0.052293,            0.083796,            0.012232,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.086786,            0.019161,                   0,             0.01089,                0.85,             0.15771,            0.052293,            0.083796,            0.012232,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.085149,            0.016776,                   0,             0.01089,                0.85,             0.15771,            0.052293,            0.083796,            0.012232,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.088312,            0.017113,                   0,            0.033204,                0.85,              0.1438,            0.047106,            0.083263,            0.011624,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.082605,             0.01752,                   0,            0.033204,                0.85,              0.1438,            0.047106,            0.083263,            0.011624,                   0,            0.008746,            0.008746,            0.008746
                  40,             0.08499,            0.016463,                   0,             0.39853,                0.15,             0.19551,            0.058846,            0.089127,            0.010476,                   0,            0.008713,            0.008713,            0.008713
                  41,             0.08275,            0.015396,                   0,             0.39853,                0.15,             0.19551,            0.058846,            0.089127,            0.010476,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.094253,            0.015054,                   0,             0.39853,                0.15,             0.19551,            0.058846,            0.089127,            0.010476,                   0,            0.008647,            0.008647,            0.008647
                  43,             0.08707,             0.01908,                   0,             0.13081,                0.05,             0.15334,            0.039706,            0.080578,            0.011868,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.086785,             0.01646,                   0,             0.13081,                0.05,             0.15334,            0.039706,            0.080578,            0.011868,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.084556,            0.018304,                   0,             0.13081,                0.05,             0.15334,            0.039706,            0.080578,            0.011868,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.087037,            0.017214,                   0,             0.24467,                 0.4,             0.16439,             0.03427,            0.077132,            0.012225,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.084743,            0.019716,                   0,             0.24467,                 0.4,             0.16439,             0.03427,            0.077132,            0.012225,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.081689,            0.019921,                   0,             0.38497,                0.15,             0.20562,            0.059643,            0.075949,            0.011603,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.077989,            0.017898,                   0,             0.38497,                0.15,             0.20562,            0.059643,            0.075949,            0.011603,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.077194,            0.017539,                   0,             0.38497,                0.15,             0.20562,            0.059643,            0.075949,            0.011603,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.080531,             0.01759,                   0,             0.53142,                 0.2,              0.2704,            0.092464,             0.07709,            0.011978,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.079741,            0.020115,                   0,             0.53142,                 0.2,              0.2704,            0.092464,             0.07709,            0.011978,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.077661,            0.018101,                   0,             0.53142,                 0.2,              0.2704,            0.092464,             0.07709,            0.011978,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.076962,            0.017997,                   0,             0.42892,                 0.1,             0.24764,            0.088316,             0.07313,            0.012438,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.074836,            0.024691,                   0,             0.42892,                 0.1,             0.24764,            0.088316,             0.07313,            0.012438,                   0,            0.008218,            0.008218,            0.008218
                  56,             0.07281,            0.020733,                   0,             0.52246,             0.16572,             0.24541,             0.05146,            0.076366,            0.010965,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.077332,            0.019025,                   0,             0.52246,             0.16572,             0.24541,             0.05146,            0.076366,            0.010965,                   0,            0.008152,            0.008152,            0.008152
                  58,             0.07955,            0.017178,                   0,             0.52246,             0.16572,             0.24541,             0.05146,            0.076366,            0.010965,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.080925,            0.017789,                   0,             0.36002,                 0.1,             0.25703,            0.091773,            0.064272,            0.012856,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.065312,             0.02167,                   0,             0.36002,                 0.1,             0.25703,            0.091773,            0.064272,            0.012856,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.066101,            0.016597,                   0,             0.36002,                 0.1,             0.25703,            0.091773,            0.064272,            0.012856,                   0,             0.00802,             0.00802,             0.00802
